station,known_group,date,temp_c,precip_mm
Jakarta,Tropical,2001-02-01,26.48,233.52
Jakarta,Tropical,2001-03-01,26.75,212.97
Jakarta,Tropical,2001-04-01,27.4,189.3
Jakarta,Tropical,2001-05-01,27.9,169.26
Jakarta,Tropical,2001-06-01,27.17,123.9
Jakarta,Tropical,2001-07-01,26.76,135.78
Jakarta,Tropical,2001-08-01,27.01,53.01
Jakarta,Tropical,2001-09-01,27.88,79.2
Jakarta,Tropical,2001-10-01,27.57,139.5
Jakarta,Tropical,2001-11-01,27.18,247.8
Jakarta,Tropical,2001-12-01,27.13,115.94
Jakarta,Tropical,2002-01-01,26.6,456.32
Jakarta,Tropical,2002-02-01,26.04,295.4
Jakarta,Tropical,2002-03-01,27.2,243.97
Jakarta,Tropical,2002-04-01,27.46,205.8
Jakarta,Tropical,2002-05-01,27.72,97.96
Jakarta,Tropical,2002-06-01,27.28,69.0
Jakarta,Tropical,2002-07-01,26.7,110.98
Jakarta,Tropical,2002-08-01,26.58,15.19
Jakarta,Tropical,2002-09-01,27.03,13.8
Jakarta,Tropical,2002-10-01,28.49,27.59
Jakarta,Tropical,2002-11-01,28.35,130.5
Jakarta,Tropical,2002-12-01,27.88,133.3
Jakarta,Tropical,2003-01-01,27.98,92.69
Jakarta,Tropical,2003-02-01,26.84,354.2
Jakarta,Tropical,2003-03-01,27.16,135.78
Jakarta,Tropical,2003-04-01,27.97,129.0
Jakarta,Tropical,2003-05-01,27.87,108.19
Jakarta,Tropical,2003-06-01,27.31,12.0
Jakarta,Tropical,2003-07-01,27.05,17.67
Jakarta,Tropical,2003-08-01,27.48,39.06
Jakarta,Tropical,2003-09-01,27.82,77.7
Jakarta,Tropical,2003-10-01,28.25,195.92
Jakarta,Tropical,2003-11-01,27.96,177.3
Jakarta,Tropical,2003-12-01,26.95,338.83
Jakarta,Tropical,2004-01-01,26.7,242.73
Jakarta,Tropical,2004-02-01,26.35,389.47
Jakarta,Tropical,2004-03-01,26.88,271.87
Jakarta,Tropical,2004-04-01,27.77,252.0
Jakarta,Tropical,2004-05-01,27.66,161.2
Jakarta,Tropical,2004-06-01,26.97,44.7
Jakarta,Tropical,2004-07-01,26.44,93.31
Jakarta,Tropical,2004-08-01,26.33,13.33
Jakarta,Tropical,2004-09-01,27.25,87.6
Jakarta,Tropical,2004-10-01,28.21,56.11
Jakarta,Tropical,2004-11-01,28.2,168.0
